cave_id,name,inventory_number,latitude,longitude,pgi_id,pgi_name,pgi_latitude,pgi_longitude,lat_diff,lon_diff,distance_m,lat_abs_diff,lon_abs_diff
674,Schronisko z Żyłą,G-1.6,50.86222222222222,20.618333333333332,674,Schronisko z Żyłą,50.8622222222026,20.618333332995515,1.9625190361693967e-11,3.3781688557610323e-10,2.3810065803414276e-05,1.9625190361693967e-11,3.3781688557610323e-10
675,Jaskinia Odkrywców,G-1.7,50.86222222222222,20.61861111111111,675,Jaskinia Odkrywców,50.862222239909265,20.618611086084496,-1.7687042941361142e-08,2.502661544667717e-08,0.0026368916820989755,1.7687042941361142e-08,2.502661544667717e-08
676,Prochownia,G-1.8,50.86222222222222,20.61861111111111,676,Prochownia,50.862222222470066,20.618611111066755,-2.4784441166048055e-10,4.4355630279824254e-11,2.773399866267191e-05,2.4784441166048055e-10,4.4355630279824254e-11
677,Szczelina na Kadzielni,G-1.9,50.861666666666665,20.61861111111111,677,Szczelina na Kadzielni,50.861666666738216,20.618611110974474,-7.155165349104209e-11,1.3663736808666727e-10,1.246068047536611e-05,7.155165349104209e-11,1.3663736808666727e-10
678,Schronisko Zjazdowe,G-1.10,50.861666666666665,20.61861111111111,678,Schronisko Zjazdowe,50.86166663703814,20.618611176753586,2.9628523634528392e-08,-6.564247456708472e-08,0.005663915315546198,2.9628523634528392e-08,6.564247456708472e-08
679,Schronisko Kontaktowe,G-1.11,50.861666666666665,20.61861111111111,679,Schronisko Kontaktowe,50.861666666738216,20.618611110974474,-7.155165349104209e-11,1.3663736808666727e-10,1.246068047536611e-05,7.155165349104209e-11,1.3663736808666727e-10
680,Schronisko nad Szczeliną,G-1.12,50.861666666666665,20.61861111111111,680,Schronisko nad Szczeliną,50.861666666738216,20.618611110974474,-7.155165349104209e-11,1.3663736808666727e-10,1.246068047536611e-05,7.155165349104209e-11,1.3663736808666727e-10
681,Jaskinia pod Łodzikami,G-1.13,50.86138888888889,20.61888888888889,681,Jaskinia pod Łodzikami,50.861388852846915,20.618888828128306,3.6041974738054705e-08,6.076058411963459e-08,0.005852170268819107,3.6041974738054705e-08,6.076058411963459e-08
682,Nocna Loża,G-1.15,50.86,20.618333333333332,682,Nocna Loża,50.85999999783712,20.618333289853354,2.1628778767990298e-09,4.347997872855558e-08,0.0030612423216966325,2.1628778767990298e-09,4.347997872855558e-08
683,Jaskinia Wschodnia na Kadzielni,G-1.14,50.861111111111114,20.61888888888889,683,Jaskinia Wschodnia na Kadzielni,50.86111114131274,20.618888875020687,-3.0201626088910416e-08,1.3868202586309053e-08,0.0034964826815931317,3.0201626088910416e-08,1.3868202586309053e-08
